participant_number,group,cq_1_h,cq_2_s_f,tn_products,n_categories,k_p_1,k_p_2,k_p_3,k_p_4,k_p_5,k_p_6,k_p_7,k_p_8,t_t_condition,t_t_A_1,t_t_A_2,t_t_A_3,t_t_A_4,t_t_A_5,t_t_A_w_p,t_t_B_1,t_t_B_2,t_t_B_3,t_t_B_4,t_t_B_5,t_t_B_w_p,t_t_d,m_q_1,m_q_2,s_s_d,s_t_d,gender,age,f_o_s,n_o_t,n_l,m_k,filter,distance_MC,kimchi_glob1,kimchi_glob2,kimchi_glob3,kimchi_glob4,kimchi_glob5,kimchi_glob6,kimchi_glob7,kimchi_glob8,kimchi_sum,toaster_a_evaluation,toaster_b_evaluation,toaster_diff_WTP,toaster45_rating1,toaster25_rating1,toaster45_rating2,toaster45_rating3,toaster45_rating4,toaster45_rating5,toaster25_rating2,toaster25_rating3,toaster25_rating4,toaster25_rating5,toaster45_mean,toaster25_mean,toaster_45_wtp,toaster_25_wtp,choice_toaster,diff_toaster
62,5,3,6,8,8,1,2,1,1,1,1,1,1,3,2,2,2,2,2,0,5,5,5,5,5,15,2,4,4,2,2,2,22,1,6,1,2,0,2,1,0,1,1,1,1,1,1,7,2,5,-15,2,5,2,2,2,2,5,5,5,5,2,5,0,15,2,-3
63,4,5,5,8,8,1,1,1,1,2,1,1,1,4,6,6,6,5,6,30,4,3,4,3,3,20,1,6,7,6,1,1,23,1,6,1,2,1,3.5,1,1,1,1,0,1,1,1,7,5.8,3.4,10,6,4,6,6,5,6,3,4,3,3,5.8,3.4,30,20,1,2.4
64,2,6,3,5,2,1,1,1,1,1,1,1,1,3,3,3,6,3,4,40,6,5,4,4,6,50,2,3,4,2,4,2,17,3,0,1,2,1,3,1,1,1,1,1,1,1,1,8,3.8,5,-10,3,6,3,6,3,4,5,4,4,6,3.8,5,40,50,2,-1.2
65,2,2,5,8,8,1,1,1,1,1,1,1,1,2,3,3,3,3,3,30,5,5,5,5,5,50,2,5,4,3,3,1,23,1,4,1,1,1,3,1,1,1,1,1,1,1,1,8,3,5,20,5,3,5,5,5,5,3,3,3,3,5,3,50,30,1,2
66,3,1,4,8,8,2,2,2,1,1,2,1,1,4,7,7,7,7,7,30,5,5,5,5,5,17,1,5,5,1,1,2,23,1,4,1,1,1,1,0,0,0,1,1,0,1,1,4,7,5,13,7,5,7,7,7,7,5,5,5,5,7,5,30,17,1,2
67,4,4,5,19,5,1,1,1,1,1,1,1,1,1,4,5,3,3,4,15,5,5,3,3,3,20,2,5,3,2,6,2,24,1,4,1,2,1,4,1,1,1,1,1,1,1,1,8,3.8,3.8,5,5,4,5,3,3,3,5,3,3,4,3.8,3.8,20,15,1,0
68,5,5,6,13,6,1,1,1,1,1,1,1,1,3,6,6,6,6,5,35,3,2,3,3,3,10,1,6,3,3,3,2,25,1,8,1,1,1,3,1,1,1,1,1,1,1,1,8,5.8,2.8,25,6,3,6,6,6,5,2,3,3,3,5.8,2.8,35,10,1,3
69,1,2,4,8,8,1,2,2,1,1,2,2,2,4,2,2,3,3,3,20,5,5,6,5,5,50,2,3,5,2,3,2,20,1,4,1,2,1,2.5,1,0,0,1,1,0,0,0,3,2.6,5.2,-30,2,5,2,3,3,3,5,6,5,5,2.6,5.2,20,50,2,-2.6
70,4,3,7,6,7,1,2,2,2,2,1,1,2,4,6,3,4,4,4,30,3,2,4,4,3,20,1,6,2,2,5,1,24,1,6,1,1,1,3.5,1,0,0,0,0,1,1,0,3,4.2,3.2,10,6,3,3,4,4,4,2,4,4,3,4.2,3.2,30,20,1,1
71,5,2,6,9,5,1,1,1,1,1,1,1,1,1,3,3,4,4,4,15,5,5,6,6,5,25,2,6,3,6,5,2,20,1,2,2,2,1,5.5,1,1,1,1,1,1,1,1,8,3.6,5.4,10,5,3,5,6,6,5,3,4,4,4,5.4,3.6,25,15,1,1.8
72,5,1,4,4,7,1,1,1,1,1,1,1,1,1,3,4,6,3,4,10,4,5,4,4,5,10,2,3,3,4,4,2,20,2,4,1,3,1,4,1,1,1,1,1,1,1,1,8,4,4.4,0,4,3,5,4,4,5,4,6,3,4,4.4,4,10,10,1,0.4
73,2,4,5,10,6,1,1,1,1,1,1,1,1,2,2,2,4,2,3,20,6,6,5,5,6,30,2,6,3,1,1,1,21,1,4,1,2,1,1,1,1,1,1,1,1,1,1,8,2.6,5.6,10,6,2,6,5,5,6,2,4,2,3,5.6,2.6,30,20,1,3
74,4,1,7,11,8,1,1,1,1,1,1,1,1,4,6,5,4,4,5,50,4,3,3,2,4,20,1,6,2,3,4,2,21,1,6,1,2,1,3.5,1,1,1,1,1,1,1,1,8,4.8,3.2,30,6,4,5,4,4,5,3,3,2,4,4.8,3.2,50,20,1,1.6
75,1,6,5,9,8,1,1,1,1,1,1,1,1,2,6,5,6,6,6,666,3,3,3,3,3,10,1,5,3,3,1,2,21,1,4,1,2,1,2,1,1,1,1,1,1,1,1,8,5.8,3,,3,6,3,3,3,3,5,6,6,6,3,5.8,10,,2,-2.8
76,1,2,5,7,7,1,2,1,1,1,1,1,1,4,5,4,4,4,4,25,5,4,3,3,4,20,1,6,2,1,1,2,22,1,4,1,1,1,1,1,0,1,1,1,1,1,1,7,4.2,3.8,5,5,5,4,4,4,4,4,3,3,4,4.2,3.8,25,20,1,0.4
77,2,4,4,11,7,1,1,1,1,1,1,1,1,3,6,5,6,6,7,19,3,4,3,2,3,10,1,6,3,3,2,1,20,1,2,1,2,1,2.5,1,1,1,1,1,1,1,1,8,6,3,9,6,3,5,6,6,7,4,3,2,3,6,3,19,10,1,3
78,4,3,5,6,7,1,1,1,1,1,1,1,1,3,5,6,6,5,6,20,4,3,5,4,3,10,1,6,2,4,5,2,21,1,6,1,1,1,4.5,1,1,1,1,1,1,1,1,8,5.6,3.8,10,5,4,6,6,5,6,3,5,4,3,5.6,3.8,20,10,1,1.8
79,4,3,5,12,9,2,2,2,1,1,2,2,1,1,7,6,5,5,6,60,3,2,1,1,2,20,1,5,3,4,4,2,22,1,4,1,2,1,4,0,0,0,1,1,0,0,1,3,5.8,1.8,-40,3,7,2,1,1,2,6,5,5,6,1.8,5.8,20,60,2,-4
80,5,5,4,10,8,2,2,1,1,2,2,1,1,4,5,5,5,4,5,15,4,3,4,3,4,10,1,6,2,2,2,1,24,1,4,1,2,1,2,0,0,1,1,0,0,1,1,4,4.8,3.6,5,5,4,5,5,4,5,3,4,3,4,4.8,3.6,15,10,1,1.2
